Test cricket[edit],,,,,,,,,,
,,,,,,,,,,
India women Test cricket record by opponent[5][6],,,,,,,,,,
Opponent,M,W,L,D,Win%,Loss%,Draw%,First,Last,
 Australia,9,0,4,5,0,44.44,55.55,1977,2006,
 England,14,2,1,11,14.28,7.14,78.57,1986,2021,
 New Zealand,6,0,0,6,0,0,100,1977,2003,
 South Africa,2,2,0,0,100,0,0,2002,2014,
 West Indies,6,1,1,4,16.66,16.66,66.66,1976,2014,
Total,37,5,6,26,13.51,16.21,70.27,1976,2021,
,,,,,,,,,,
One Day International[edit],,,,,,,,,,
,,,,,,,,,,
India women One Day International record by opponent[13][19],,,,,,,,,,
Opponent,M,W,L,T,NR,Win%,First,Last,,
 Australia,46,9,37,0,0,19.56,1978,2018,,
 Bangladesh,4,4,0,0,0,100,2013,2017,,
 Denmark,1,1,0,0,0,100,1993,1993,,
 England,72,31,39,0,2,44.28,1978,2021,,
 International XI,3,3,0,0,0,100,2013,2013,,
 Ireland,12,12,0,0,0,100,1993,2017,,
 Netherlands,3,3,0,0,0,100,1993,2000,,
 New Zealand,48,19,28,1,0,38.88,1978,2019,,
 Pakistan,10,10,0,0,0,100,2005,2017,,
 South Africa,27,15,11,0,1,57.69,1997,2021,,
 Sri Lanka,29,26,2,0,1,92.85,2000,2018,,
 West Indies,25,20,5,0,0,80,1993,2019,,
Total,280,153,122,1,4,55.61,1978,2021,,
,,,,,,,,,,
Twenty20 International[edit],,,,,,,,,,
,,,,,,,,,,
India women Twenty20 International record by opponent[16][20],,,,,,,,,,
Opponent,M,W,L,T,Tie+W,Tie+L,NR,Win%,First,Last
 Australia,20,6,14,0,0,0,0,30,2008,2020
 Bangladesh,12,10,2,0,0,0,0,83.33,2013,2020
 England,22,5,17,0,0,0,0,22.72,2006,2021
 Malaysia,1,1,0,0,0,0,0,–,2018,2018
 New Zealand,12,4,8,0,0,0,0,33.33,2009,2020
 Pakistan,11,9,2,0,0,0,0,81.81,2009,2018
 South Africa,13,8,4,0,0,0,0,66.66,2014,2021
 Sri Lanka,18,14,3,0,0,0,1,82.35,2009,2020
 Thailand,1,1,0,0,0,0,0,–,2018,2018
 West Indies,18,10,8,0,0,0,0,55.55,2011,2019
Total,129,69,58,0,0,0,2,54.33,2006,2021
