Opponent,Matches,Won,Lost,Tie+Win,Tie+Loss,No Result,% Won,First,Last
ICC Full Members,,,,,,,,,
 Afghanistan,3,3,0,0,0,0,100,2010,2021
 Australia,23,13,9,0,0,1,59.09,2007,2020
 Bangladesh,11,10,1,0,0,0,90.9,2009,2019
 England,19,10,9,0,0,0,52.63,2007,2021
 Ireland,5,5,0,0,0,0,100,2009,2022
 New Zealand,20,9,9,2,0,0,50,2007,2021
 Pakistan,9,6,2,1,0,0,72.22,2007,2021
 South Africa,20,11,8,0,0,1,57.89,2006,2022
 Sri Lanka,25,17,7,0,0,1,70.83,2009,2022
 West Indies,20,13,6,0,0,1,68.42,2009,2022
 Zimbabwe,7,5,2,0,0,0,71.42,2010,2016
